15:47:22.167 [main] INFO  c.e.weatherapp.WeatherAppApplication - Starting WeatherAppApplication using Java 17.0.2 on martinNtb with PID 19988 (C:\Users\marth\Documents\Java\PPJ\PPJ_2022\WeatherApp\target\classes started by marth in C:\Users\marth\Documents\Java\PPJ\PPJ_2022\WeatherApp)
15:47:25.493 [cluster-ClusterId{value='628e336d4a25f822e79c2e03', description='null'}-cluster0-shard-00-00.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:1360474}] to cluster0-shard-00-00.zl5oc.mongodb.net:27017
15:47:25.494 [cluster-ClusterId{value='628e336d4a25f822e79c2e03', description='null'}-cluster0-shard-00-02.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.zl5oc.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=176626800, setName='Cluster0-shard-0', canonicalAddress=cluster0-shard-00-02.zl5oc.mongodb.net:27017, hosts=[cluster0-shard-00-02.zl5oc.mongodb.net:27017, cluster0-shard-00-01.zl5oc.mongodb.net:27017, cluster0-shard-00-00.zl5oc.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.zl5oc.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=9, topologyVersion=TopologyVersion{processId=627e9071794566cb25c00778, counter=3}, lastWriteDate=Wed May 25 15:47:26 CEST 2022, lastUpdateTimeNanos=965523693401200}
15:47:25.494 [cluster-ClusterId{value='628e336d4a25f822e79c2e03', description='null'}-cluster0-shard-00-00.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.zl5oc.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=176658900, setName='Cluster0-shard-0', canonicalAddress=cluster0-shard-00-00.zl5oc.mongodb.net:27017, hosts=[cluster0-shard-00-02.zl5oc.mongodb.net:27017, cluster0-shard-00-01.zl5oc.mongodb.net:27017, cluster0-shard-00-00.zl5oc.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.zl5oc.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=9, topologyVersion=TopologyVersion{processId=626825d0ff17a0955cf94397, counter=5}, lastWriteDate=Wed May 25 15:47:26 CEST 2022, lastUpdateTimeNanos=965523693400600}
15:47:25.494 [cluster-ClusterId{value='628e336d4a25f822e79c2e03', description='null'}-cluster0-shard-00-01.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.zl5oc.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=169916300, setName='Cluster0-shard-0', canonicalAddress=cluster0-shard-00-01.zl5oc.mongodb.net:27017, hosts=[cluster0-shard-00-02.zl5oc.mongodb.net:27017, cluster0-shard-00-01.zl5oc.mongodb.net:27017, cluster0-shard-00-00.zl5oc.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-01.zl5oc.mongodb.net:27017', tagSet=TagSet{[Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_CENTRAL_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000080, setVersion=9, topologyVersion=TopologyVersion{processId=626826aa5cb333f4f537a477, counter=6}, lastWriteDate=Wed May 25 15:47:26 CEST 2022, lastUpdateTimeNanos=965523693408500}
15:47:25.501 [cluster-ClusterId{value='628e336d4a25f822e79c2e03', description='null'}-cluster0-shard-00-01.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000080 from replica set primary cluster0-shard-00-01.zl5oc.mongodb.net:27017
15:47:25.501 [cluster-ClusterId{value='628e336d4a25f822e79c2e03', description='null'}-cluster0-shard-00-01.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 9 from replica set primary cluster0-shard-00-01.zl5oc.mongodb.net:27017
15:47:25.501 [cluster-ClusterId{value='628e336d4a25f822e79c2e03', description='null'}-cluster0-shard-00-01.zl5oc.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-01.zl5oc.mongodb.net:27017
15:47:25.740 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:1378968}] to cluster0-shard-00-01.zl5oc.mongodb.net:27017
15:47:26.593 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
15:47:26.991 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
